# HTM
# based on http://www.htm.net/smartsite.dws?id=NAVIGATIE&kaarttype=0&halte_ids=1,2,3,4,...
# and google geocoding api administrative_area_level_2
company	ovcid	city             	name
3	32925	Den Haag              	Jacob Catsstraat
3	32926	Den Haag              	Jacob Catsstraat
3	32927	Den Haag              	Jacob Catsstraat
3	32928	Den Haag              	Jacob Catsstraat
3	32931	Den Haag              	Hobbemaplein
3	32932	Den Haag              	Hobbemaplein
3	32934	Den Haag              	Delftselaan
3	32935	Den Haag              	Delftselaan
3	33001	Den Haag              	Loosduinseweg
3	33002	Den Haag              	Loosduinseweg
3	33003	Den Haag              	De La Reyweg
3	33004	Den Haag              	De La Reyweg
3	33005	Den Haag              	Paul Krugerplein
3	33006	Den Haag              	Paul Krugerplein
3	33007	Den Haag              	Paul Krugerplein
3	33008	Den Haag              	Paul Krugerplein
3	33009	Den Haag              	Schalk Burgerstraat
3	33010	Den Haag              	Schalk Burgerstraat
3	33101	Den Haag              	Kamperfoeliestraat
3	33102	Den Haag              	Kamperfoeliestraat
3	33103	Den Haag              	Valkenboslaan
3	33104	Den Haag              	Valkenboslaan
3	33105	Den Haag              	Loosduinseweg
3	33106	Den Haag              	Loosduinseweg
3	33107	Den Haag              	Fahrenheitstraat
3	33108	Den Haag              	Fahrenheitstraat
3	33109	Den Haag              	Tienhovenselaan
3	33110	Den Haag              	Tienhovenselaan
3	33113	Den Haag              	Escamplaan
3	33114	Den Haag              	Escamplaan
3	33115	Den Haag              	Nunspeetlaan
3	33116	Den Haag              	Nunspeetlaan
3	33117	Den Haag              	Soestdijkseplein
3	33118	Den Haag              	Soestdijkseplein
3	33119	Den Haag              	Soestdijkseplein
3	33120	Den Haag              	Soestdijkseplein
3	33121	Den Haag              	De La Reyweg
3	33122	Den Haag              	De La Reyweg
3	33123	Den Haag              	Escamplaan
3	33125	Den Haag              	Barneveldstraat
3	33126	Den Haag              	Barneveldstraat
3	33129	Den Haag              	Dierenselaan
3	33130	Den Haag              	Dierenselaan
3	33201	Den Haag              	Volendamlaan
3	33202	Den Haag              	Volendamlaan
3	33203	Den Haag              	Nieuwendamlaan
3	33204	Den Haag              	Nieuwendamlaan
3	33205	Den Haag              	Laan van Eik en Duinen
3	33206	Den Haag              	Laan van Eik en Duinen
3	33209	Den Haag              	Escamplaan
3	33210	Den Haag              	Escamplaan
3	33211	Den Haag              	Castricumplein
3	33212	Den Haag              	Castricumplein
3	33213	Den Haag              	Monnickendamplein
3	33214	Den Haag              	Monnickendamplein
3	33215	Den Haag              	Leyenburg
3	33216	Den Haag              	Leyenburg
3	33217	Den Haag              	Leyenburg
3	33218	Den Haag              	Leyenburg
3	33219	Den Haag              	Zuiderpark
3	33220	Den Haag              	Zuiderpark
3	33223	Den Haag              	Monnickendamplein
3	33224	Den Haag              	Monnickendamplein
3	33225	Den Haag              	Volendamlaan
3	33227	Den Haag              	Leyenburg
3	33228	Den Haag              	Leyenburg
3	33302	Den Haag              	Drapeniersgaarde
3	33303	Den Haag              	Drapeniersgaarde
3	33305	Den Haag              	Beresteinlaan
3	33306	Den Haag              	Beresteinlaan
3	33309	Den Haag              	Bouwlustlaan
3	33310	Den Haag              	Bouwlustlaan
3	33311	Den Haag              	De Rade
3	33312	Den Haag              	De Rade
3	33313	Den Haag              	De Stede
3	33314	Den Haag              	De Stede
3	33318	Den Haag              	Beresteinlaan
3	33319	Den Haag              	Beresteinlaan
3	33320	Den Haag              	Vrederustlaan
3	33321	Den Haag              	Vrederustlaan
3	33322	Den Haag              	Hertenrade
3	33323	Den Haag              	Hertenrade
3	33327	Den Haag              	De Dreef
3	33328	Den Haag              	De Dreef
3	33330	Den Haag              	Beresteinlaan
3	33331	Den Haag              	Beresteinlaan
3	33333	Den Haag              	Vrederustlaan
3	33334	Den Haag              	Vrederustlaan
3	33335	Den Haag              	Revalidatiecentrum
3	33336	Den Haag              	Revalidatiecentrum
3	33337	Den Haag              	Lozerlaan
3	33339	Den Haag              	Lozerlaan
3	33340	Den Haag              	Ambachtsweg
3	33341	Den Haag              	Ambachtsweg
3	33342	Den Haag              	Vrederustlaan
3	33343	Den Haag              	Vrederustlaan
3	33350	Den Haag              	De Uithof
3	33357	Den Haag              	Lozerlaan
3	33358	Den Haag              	Melis Stokelaan
